Name,Lvl,Classes,Ritual,School,CT,Range,V,S,M,MC,MD,Dur,C,desc,hl
Animal Trick,3,Bard|Druid|Ranger,,Enchantment,1 action,60 feet,t,t,,,,1 minute,,"You choose one beast you can see and that can hear you and get it to perform one trick for you. As long as the trick is within that creature’s physical capabilities, it will perform the trick to the best of its ability. The animal is unlikely to understand abstract reasoning and must have your request spelled out in detail. The target can't be made to attack. The spell ends if the target takes any damage.",
Archer’s Redoubt,3,Ranger,,Evocation,,,,,,,,,,,
Arrowflight,1,Bard|Ranger,,Transmutation,,,,,,,,,,,
Assess Value,1,Bard|Cleric|Wizard,,Divination,,,,,,,,,,,
Astral Awareness,3,Cleric|Warlock|Wizard,,Divination,,,,,,,,,,,
Augment Artistry,1,Bard|Warlock,,Transmutation,,,,,,,,,,,
Banish Blight,2,Druid,,Transmutation,,,,,,,,,,,
Banish Dazzle,1,Bard|Druid|Ranger,,Abjuration,,,,,,,,,,,
Bearhug,3,Ranger,,Transmutation,,,,,,,,,,,
Beastmask,2,Druid|Ranger,,Illusion,,,,,,,,,,,
Beneficience,1,Cleric|Druid|Paladin|Warlock,,Evocation,,,,,,,,,,,
Bigby's Bookworm Bane,0,Wizard,,Evocation,,,,,,,,,,,
Bigby's Dextrous Digits,2,Wizard,,Evocation,,,,,,,,,,,
Blacksteel,0,Bard|Wizard,,Transmutation,,,,,,,,,,,
Bliss,2,Bard|Cleric|Warlock|Wizard,,Enchantment,,,,,,,,,,,
Blood Bond,1,Druid|Paladin|Ranger|Wizard,,Necromancy,,,,,,,,,,,
Bloodbridge,0,Cleric|Druid|Sorcerer|Wizard|Warlock,,Necromancy,,,,,,,,,,,
Blossom,3,Druid,,Transmutation,,,,,,,,,,,
Body Blades,2,Sorcerer|Wizard,,Transmutation,,,,,,,,,,,
Boon of Fortune,3,Bard|Ranger,,Transmutation,,,,,,,,,,,
Calder's Starry Sky,1,Bard|Cleric|Druid|Ranger|Warlock|Wizard,,Illusion,,,,,,,,,,,
Call Society,2,Bard|Cleric|Druid|Paladin|Ranger|Wizard,,Illusion,,,,,,,,,,,
Call Upon Faith,0,Cleric|Druid,,Evocation,,,,,,,,,,,
Candletrick,0,Bard|Cleric|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Castigate,3,Bard|Cleric|Paladin,,Evocation,,,,,,,,,,,
Circle of Privacy,2,Bard|Druid|Ranger,,Illusion,,,,,,,,,,,
Color,1,Bard|Sorcerer|Warlock|Wizard,,Illusion,,,,,,,,,,,
Comfort,3,Bard|Cleric|Druid|Ranger,,Enchantment,,,,,,,,,,,
Compass,1,Bard|Druid|Paladin|Warlock,,Divination,,,,,,,,,,,
Conceal Item,3,Bard,,Illusion,,,,,,,,,,,
Cook,2,Bard|Druid|Ranger|Wizard,,Transmutation,,,,,,,,,,,
,,,,,,,,,,,,,,,
Create Campsite,2,Bard|Druid|Ranger,,Conjuration,,,,,,,,,,,
Creeping Darkness,1,Sorcerer|Warlock|Wizard,,Illusion,,,,,,,,,,,
Curse Tablet,3,Cleric|Warlock|Wizard,,Necromancy,,,,,,,,,,,
Dancing Fire,1,Bard|Cleric|Druid|Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Darkbolt,3,Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Darsson's Cooling Breeze,0,Bard|Druid|Wizard,,Evocation,,,,,,,,,,,
Death Candle,1,Cleric|Druid|Paladin,,Divination,,,,,,,,,,,
Death Prayer,0,Cleric|Druid,,Abjuration,,,,,,,,,,,
Death Recall,2,Cleric|Paladin|Warlock|Wizard,,Divination,,,,,,,,,,,
Decastave,2,Cleric|Druid|Ranger|Warlock|Wizard,,Evocation,,,,,,,,,,,
Deepen Shadows,0,Sorcerer|Warlock|Wizard,,Illusion,,,,,,,,,,,
Deeppockets,2,Wizard,,Transmutation,,,,,,,,,,,
Detect Harmony,1,Cleric|Druid,,Divination,,,,,,,,,,,
Detect Metals and Minerals,1,Wizard,,Divination,,,,,,,,,,,
Detect Secret Passages and Portals,1,Wizard,,Divination,,,,,,,,,,,
Diction,1,Bard|Cleric|Warlock|Wizard,,Evocation,,,,,,,,,,,
Dig,3,Druid|Ranger|Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Dire Charm,3,Sorcerer|Wizard,,Illusion,,,,,,,,,,,
Disarm,0,Bard|Druid|Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Distraction,0,Bard|Warlock,,Enchantment,,,,,,,,,,,
Doomhound,3,Druid|Wizard,,Illusion,,,,,,,,,,,
Drawmij's Breath of Life,1,Druid|Ranger|Wizard,,Transmutation,,,,,,,,,,,
Drawmij's Light Step,1,Ranger|Wizard,,Transmutation,,,,,,,,,,,
Drawmij's Scent Mask,2,Druid|Ranger,,Illusion,,,,,,,,,,,
Drawmij's Swift Mount,2,Druid|Paladin|Ranger|Wizard,,Transmutation,,,,,,,,,,,
Drenal's Stone Flame,2,Druid|Sorcerer|Wizard,,Transmutation,,,,,,,,,,,
Drought,3,Druid,,Transmutation,,,,,,,,,,,
Ease Labor,1,Cleric|Druid,,Transmutation,,,,,,,,,,,
Echoes,2,Bard|Sorcerer|Warlock,,Illusion,,,,,,,,,,,
Elonia's Glamer,1,Bard|Sorcerer|Warlock,,Illusion,,,,,,,,,,,
Elude Blow,2,Cleric|Ranger|Wizard,,Abjuration,,,,,,,,,,,
Encrypt,3,Wizard,,Illusion,,,,,,,,,,,
Enervation,3,Cleric,,Necromancy,,,,,,,,,,,
Entomb,3,Druid|Wizard,,Transmutation,,,,,,,,,,,
Erase,1,Bard|Cleric|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Erik's Quills,0,Druid,,Conjuration,,,,,,,,,,,
Exorcism,2,Bard|Cleric|Druid|Paladin|Warlock,,Abjuration,,,,,,,,,,,
Exterminate,1,Bard|Cleric|Sorcerer|Warlock|Wizard,,Necromancy,,,,,,,,,,,
False Tracks,1,Druid|Ranger,,Illusion,,,,,,,,,,,
Fang Fist,2,Druid|Ranger,,Transmutation,,,,,,,,,,,
Farspeaker,3,Bard|Cleric|Wizard,,Transmutation,,,,,,,,,,,
Favor of Amelioration,3,Cleric|Druid|Paladin,,Abjuration,,,,,,,,,,,
Favor of Good/Ill Luck,2,Cleric|Paladin|Ranger|Warlock,,Enchantment,,,,,,,,,,,
Favor of Serendipidy,2,Cleric|Ranger,,Transmutation,,,,,,,,,,,
Favor of the Earth,1,Cleric|Druid,,Transmutation,,,,,,,,,,,
Fertility,1,Cleric|Druid,,Necromancy,,,,,,,,,,,
Fiery Eyes,0,Bard|Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Fiery Fists,2,Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Filth's Bane,1,Bard|Cleric|Paladin|Wizard,,Transmutation,,,,,,,,,,,
Fire Arrows,2,Bard|Ranger,,Evocation,,,,,,,,,,,
Fire Aura,3,Cleric|Sorcerer|Wizard,,Abjuration,,,,,,,,,,,
Fire Truth,1,Bard|Cleric|Paladin|Warlock|Wizard,,Divination,,,,,,,,,,,
Fireproof,2,Cleric|Druid|Wizard,,Abjuration,,,,,,,,,,,
Firestaff,2,Cleric|Ranger|Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
First Strike,1,Cleric|Paladin|Ranger,,Transmutation,,,,,,,,,,,
Fist of Stone,1,Druid|Paladin|Sorcerer|Wizard,,Transmutation,,,,,,,,,,,
Flashpuff,0,Bard|Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Fool’s Speech,3,Bard|Warlock|Wizard,,Illusion,,,,,,,,,,,
Frost Fingers,1,Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Frost Whip,3,Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Frostfire,2,Sorcerer|Warlock,,Transmutation,,,,,,,,,,,
Gift of Speech,1,Druid|Warlock,,Transmutation,,,,,,,,,,,
Grassdart,2,Druid,,Transmutation,,,,,,,,,,,
Ground Trace,2,Druid|Ranger|Warlock,,Divination,,,,,,,,,,,
Hail of Stone,1,Druid,,Conjuration,,,,,,,,,,,
Hailstone,0,Druid|Sorcerer,,Evocation,,,,,,,,,,,
Hair,1,Bard|Cleric|Paladin|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Handcandle,0,Bard|Cleric|Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Handfang,0,Druid|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Haunting,0,Bard|Wizard,,Illusion,,,,,,,,,,,
Helping Hand,3,Bard|Cleric|Wizard,,Evocation,,,,,,,,,,,
Hibernation,3,Druid,,Enchantment,,,,,,,,,,,
Hold Portal,0,Bard|Cleric|Warlock|Wizard,,Abjuration,,,,,,,,,,,
Holy Flail,3,Cleric,,Transmutation,,,,,,,,,,,
Hurl Rock,2,Druid|Ranger|Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Idea,0,Cleric|Sorcerer|Warlock|Wizard,,Divination,,,,,,,,,,,
Immurk's Distraction,2,Bard|Wizard,,Enchantment,,,,,,,,,,,
Impenetrable Falsehood,3,Bard|Wizard,,Abjuration,,,,,,,,,,,
Instensify Sensation,2,Bard|Sorcerer|Warlock|Wizard,,Enchantment,,,,,,,,,,,
Isolde’s Answer,3,Bard|Warlock|Wizard,,Divination,,,,,,,,,,,
Javelin,3,Druid|Ranger,,Evocation,,,,,,,,,,,
Know Customs,3,Bard|Cleric|Wizard,,Divination,,,,,,,,,,,
Ladder,1,Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Laeral's Cutting Hand,1,Paladin|Sorcerer|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Leaf into Dagger,0,Druid,,Transmutation,,,,,,,,,,,
Legerdemain,0,Bard,,Conjuration,,,,,,,,,,,
Leomund's Trap,2,Wizard,,Illusion,,,,,,,,,,,
Lightning Rod,3,Cleric|Druid,,Transmutation,,,,,,,,,,,
Liquid Orb,0,Bard|Cleric|Druid|Sorcerer|Warlock|Wizard,,Conjuration,,,,,,,,,,,
Magical Tether,1,Druid|Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Mass,3,Sorcerer|Wizard,,Transmutation,,,,,,,,,,,
Mass Jump,3,Druid|Sorcerer|Wizard,,Transmutation,,,,,,,,,,,
Merchant’s Glamer,3,Bard|Wizard,,Illusion,,,,,,,,,,,
Mistaken Missive,2,Bard|Wizard,,Transmutation,,,,,,,,,,,
Moon Rune,2,Bard|Cleric|Druid|Warlock|Wizard,,Illusion,,,,,,,,,,,
Mordenkainan’s Defense Against Beasts and Slimes,3,Druid|Ranger|Wizard,,Abjuration,,,,,,,,,,,
Mystic Rope,3,Bard|Druid|Sorcerer|Wizard,,Conjuration,,,,,,,,,,,
Nature Call,0,Druid,,Conjuration,,,,,,,,,,,
Nchaser’s Glowing Globe,3,Cleric|Warlock|Wizard,,Evocation,,,,,,,,,,,
Nectar,3,Druid,,Conjuration,,,,,,,,,,,
Nightscar,3,Cleric|Paladin|Wizard,,Illusion,,,,,,,,,,,
Nystul’s Radiant Baton,3,Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Odeen's Magic Cloud,0,Bard|Sorcerer,,Evocation,,,,,,,,,,,
Odeen's Magic Tailor,0,Bard|Wizard,,Transmutation,,,,,,,,,,,
Orison,0,Cleric,,Transmutation,,,,,,,,,,,
Otiluke’s Orb of Containment,3,Wizard,,Evocation,,,,,,,,,,,
Otoo's Soothing Vibrations,2,Bard,,Enchantment,,,,,,,,,,,
Otto's Chime of Release,1,Bard,,Transmutation,,,,,,,,,,,
Pain,0,Cleric|Sorcerer|Warlock|Wizard,,Necromancy,,,,,,,,,,,
Phantom Arms and Armor,3,Paladin|Wizard,,Illusion,,,,,,,,,,,
Phantom Plow,0,Cleric,,Transmutation,,,,,,,,,,,
Phantom Steed,3,Bard|Druid|Ranger|Wizard,,Illusion,,,,,,,,,,,
Preservation,2,Cleric|Druid,,Abjuration,,,,,,,,,,,
Prismal's Handy Mirror,2,Bard|Cleric|Sorcerer|Warlock,,Conjuration,,,,,,,,,,,
Protective Amulet,1,Cleric|Druid|Warlock|Wizard,,Abjuration,,,,,,,,,,,
Rainshield,0,Bard|Cleric|Druid|Sorcerer|Warlock|Wizard,,Abjuration,,,,,,,,,,,
Ray of Fatigue,1,Bard|Cleric|Sorcerer|Warlock|Wizard,,Necromancy,,,,,,,,,,,
Ray of Paralysis,3,Paladin|Sorcerer|Warlock|Wizard,,Necromancy,,,,,,,,,,,
Read Object,3,Sorcerer|Warlock|Wizard,,Divination,,,,,,,,,,,
Reed Staff,1,Druid|Ranger,,Transmutation,,,,,,,,,,,
Resist Turning,3,Cleric,,Abjuration,,,,,,,,,,,
Restore Earth,3,Druid|Wizard,,Conjuration,,,,,,,,,,,
Revenance,2,Cleric,,Abjuration,,,,,,,,,,,
Ritual Strength,0,Cleric|Druid|Sorcerer|Warlock,,Abjuration,,,,,,,,,,,
Sacred Guardian,1,Cleric|Druid|Paladin,,Abjuration,,,,,,,,,,,
Sand Sword,3,Druid|Paladin,,Transmutation,,,,,,,,,,,
Sap,2,Druid,,Conjuration,,,,,,,,,,,
Scalding Spout,3,Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Scatterspray,0,Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Scent of Vengeance,2,Druid|Paladin|Ranger,,Transmutation,,,,,,,,,,,
Sea Sight,1,Druid|Warlock,,Divination,,,,,,,,,,,
Seal Mouth,2,Bard|Warlock|Wizard,,Enchantment,,,,,,,,,,,
Secret Page,1,Cleric|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Secret Signs,0,Bard|Druid|Warlock|Wizard,,Divination,,,,,,,,,,,
See Through Other Eyes,2,Druid|Sorcerer|Warlock|Wizard,,Divination,,,,,,,,,,,
Seek Teleporter,3,Wizard,,Divination,,,,,,,,,,,
Seeking,3,Druid|Ranger|Warlock,,Evocation,,,,,,,,,,,
Segojan's Armor,1,Druid,,Abjuration,,,,,,,,,,,
Shadow Dance,3,Sorcerer|Wizard,,Transmutation,,,,,,,,,,,
Shape Wood,3,Cleric,,Transmutation,,,,,,,,,,,
Shark Bolt,2,Druid|Wizard,,Evocation,,,,,,,,,,,
Sharptooth,1,Druid|Ranger,,Transmutation,,,,,,,,,,,
Shoondal’s Seeking,3,Wizard,,Divination,,,,,,,,,,,
Singing Stone,3,Bard,,Transmutation,,,,,,,,,,,
Sinister Surroundings,2,Sorcerer|Warlock|Wizard,,Illusion,,,,,,,,,,,
Skull Watch,2,Cleric|Wizard,,Necromancy,,,,,,,,,,,
Skyhook,2,Sorcerer|Warlock|Wizard,,Evocation,,,,,,,,,,,
Smoke Shape,0,Bard|Druid|Sorcerer|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Snapdragon,3,Druid,,Transmutation,,,,,,,,,,,
Song of Compulsion,3,Bard,,Enchantment,,,,,,,,,,,
Special Effects,1,Bard|Sorcerer|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Spirit Mask,1,Cleric|Druid|Warlock,,Abjuration,,,,,,,,,,,
Splinter Wood,2,Druid|Ranger|Warlock|Wizard,,Transmutation,,,,,,,,,,,
Spring,3,Cleric|Druid,,Transmutation,,,,,,,,,,,
Squeaking Floor,0,Wizard,,Abjuration,,,,,,,,,,,
Sunscorch,3,Warlock|Wizard,,Evocation,,,,,,,,,,,
Sustain Fire,0,Bard|Cleric|Druid,,Transmutation,,,,,,,,,,,
Swim,1,Druid,,Transmutation,,,,,,,,,,,
Talon's Waterproof,0,Bard|Sorcerer|Warlock,,Abjuration,,,,,,,,,,,
Teleport Object,3,Wizard,,Conjuration,,,,,,,,,,,
Tenser's Hunting Hawk,2,Ranger,,Transmutation,,,,,,,,,,,
Thief’s Lament,3,Wizard,,Abjuration,,,,,,,,,,,
Thump,0,Bard|Cleric,,Conjuration,,,,,,,,,,,
Thunderball,2,Cleric|Druid|Sorcerer|Wizard,,Conjuration,,,,,,,,,,,
Venomdust,3,Warlock|Wizard,,Evocation,,,,,,,,,,,
Venomous Blade,2,Ranger|Wizard,,Transmutation,,,,,,,,,,,
Warning Shout,0,Bard|Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Weapon of the Earth,1,Druid|Paladin|Ranger,,Transmutation,,,,,,,,,,,
Weapon Return,3,Ranger,,Transmutation,,,,,,,,,,,
Weapon Shift,2,Paladin|Ranger,,Transmutation,,,,,,,,,,,
Whip of Flame,3,Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Whispers,2,Bard|Warlock|Wizard,,Divination,,,,,,,,,,,
Wolfjaws,2,Druid|Ranger|Wizard,,Transmutation,,,,,,,,,,,
Wyvern Watch,2,Druid|Sorcerer|Wizard,,Evocation,,,,,,,,,,,
Zone of Deception,2,Bard|Cleric,,Enchantment,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bestow Curse,,,,,,,,,,,,,,,
Glyph of Warding,,,,,,,,,,,,,,,
Transmute Rock,,,,,,,,,,,,,,,
Druidcraft,,,,,,,,,,,,,,,
